num_contests,exclusion_percentage,contests_excluded,contests_included
6,0.1,1,5
7,0.105,1,6
8,0.11,1,7
9,0.115,2,7
10,0.12,2,8
11,0.125,2,9
12,0.13,2,10
13,0.135,2,11
14,0.14,2,12
15,0.145,3,12
16,0.15,3,13
17,0.155,3,14
18,0.16,3,15
19,0.165,4,15
20,0.17,4,16
21,0.175,4,17
22,0.18,4,18
23,0.185,5,18
24,0.19,5,19
25,0.195,5,20
26,0.2,6,20
27,0.205,6,21
28,0.21,6,22
29,0.215,7,22
30,0.22,7,23
31,0.225,7,24
32,0.23,8,24
33,0.235,8,25
34,0.24,9,25
35,0.245,9,26
36,0.25,9,27
37,0.255,10,27
38,0.26,10,28
39,0.265,11,28
40,0.27,11,29
41,0.275,12,29
42,0.28,12,30
43,0.285,13,30
44,0.29,13,31
45,0.295,14,31
46,0.3,14,32
47,0.305,15,32
48,0.31,15,33
49,0.315,16,33
50,0.32,16,34
51,0.325,17,34
52,0.33,18,34
53,0.335,18,35
54,0.34,19,35
55,0.345,19,36
56,0.35,20,36
57,0.355,21,36
58,0.36,21,37
59,0.365,22,37
60,0.37,23,37
61,0.375,23,38
62,0.38,24,38
63,0.385,25,38
64,0.39,25,39
65,0.395,26,39
66,0.4,27,39
67,0.405,28,39
68,0.41,28,40
69,0.415,29,40
70,0.42,30,40
71,0.425,31,40
72,0.43,31,41
73,0.435,32,41
74,0.44,33,41
75,0.445,34,41
76,0.45,35,41
77,0.455,36,41
78,0.46,36,42
79,0.465,37,42
80,0.47,38,42
81,0.475,39,42
82,0.48,40,42
83,0.485,41,42
84,0.49,42,42
85,0.495,43,42
86,0.5,43,43
87,0.505,44,43
88,0.51,45,43
89,0.515,46,43
90,0.52,47,43
91,0.525,48,43
92,0.53,49,43
93,0.535,50,43
94,0.54,51,43
95,0.545,52,43
96,0.55,53,43
97,0.555,54,43
98,0.56,55,43
99,0.565,56,43
100,0.57,57,43
101,0.5725,58,43
102,0.575,59,43
103,0.5775,60,43
104,0.58,61,43
105,0.5825,62,43
106,0.585,63,43
107,0.5875,63,44
108,0.59,64,44
109,0.5925,65,44
110,0.595,66,44
111,0.5975,67,44
112,0.6,68,44
113,0.6025,69,44
114,0.605,69,45
115,0.6075,70,45
116,0.61,71,45
117,0.6125,72,45
118,0.615,73,45
119,0.6175,74,45
120,0.62,75,45
121,0.6225,76,45
122,0.625,77,45
123,0.6275,78,45
124,0.63,79,45
125,0.6325,80,45
126,0.635,81,45
127,0.6375,81,46
128,0.64,82,46
129,0.6425,83,46
130,0.645,84,46
131,0.6475,85,46
132,0.65,86,46
133,0.6525,87,46
134,0.655,88,46
135,0.6575,89,46
136,0.66,90,46
137,0.6625,91,46
138,0.665,92,46
139,0.6675,93,46
140,0.67,94,46
141,0.6725,95,46
142,0.675,96,46
143,0.6775,97,46
144,0.68,98,46
145,0.6825,99,46
146,0.6825,100,46
147,0.6825,101,46
148,0.6825,102,46
149,0.6825,102,47
150,0.6825,103,47
151,0.6825,104,47
152,0.6825,104,48
153,0.6825,105,48
154,0.6825,106,48
155,0.6825,106,49
156,0.6825,107,49
157,0.6825,108,49
158,0.6825,108,50
159,0.6825,109,50
160,0.6825,110,50
161,0.6825,110,51
162,0.6825,111,51
163,0.6825,112,51
164,0.6825,112,52
165,0.6825,113,52
166,0.6825,114,52
167,0.6825,114,53
168,0.6825,115,53
169,0.6825,116,53
170,0.6825,117,53
171,0.6825,117,54
172,0.6825,118,54
173,0.6825,119,54
174,0.6825,119,55
175,0.6825,120,55
176,0.6825,121,55
177,0.6825,121,56
178,0.6825,122,56
179,0.6825,123,56
180,0.6825,123,57
181,0.6825,124,57
182,0.6825,125,57
183,0.6825,125,58
184,0.6825,126,58
185,0.6825,127,58
186,0.6825,127,59
187,0.6825,128,59
188,0.6825,129,59
189,0.6825,129,60
190,0.6825,130,60
191,0.6825,131,60
192,0.6825,132,60
193,0.6825,132,61
194,0.6825,133,61
195,0.6825,134,61
196,0.6825,134,62
197,0.6825,135,62
198,0.6825,136,62
199,0.6825,136,63
200,0.6825,137,63